"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000001053","ENSMUSG00000001053","ensembl_havana","15","N4bp3","protein_coding",NA
"ENSMUSG00000001054","ENSMUSG00000001054","ensembl_havana","9","Rmnd5b","protein_coding",NA
"ENSMUSG00000001056","ENSMUSG00000001056","ensembl_havana","3","Nhp2","protein_coding",NA
"ENSMUSG00000001062","ENSMUSG00000001062","ensembl_havana","17","Vps9d1","protein_coding",NA
"ENSMUSG00000001065","ENSMUSG00000001065","ensembl_havana","14","Zfp276","protein_coding",NA
"ENSMUSG00000001076","ENSMUSG00000001076","ensembl","6","C1ql4","protein_coding",NA
"ENSMUSG00000001082","ENSMUSG00000001082","ensembl_havana","12","Mfsd10","protein_coding",NA
"ENSMUSG00000001089","ENSMUSG00000001089","ensembl_havana","14","Luzp1","protein_coding",NA
"ENSMUSG00000001095","ENSMUSG00000001095","ensembl_havana","5","Slc13a2","protein_coding",NA
"ENSMUSG00000001098","ENSMUSG00000001098","ensembl_havana","15","Kctd10","protein_coding",NA
"ENSMUSG00000001100","ENSMUSG00000001100","ensembl_havana","10","Poldip2","protein_coding",NA
"ENSMUSG00000001103","ENSMUSG00000001103","ensembl_havana","7","Sebox","protein_coding",NA
"ENSMUSG00000001105","ENSMUSG00000001105","ensembl_havana","15","Ift20","protein_coding",NA
"ENSMUSG00000001119","ENSMUSG00000001119","ensembl_havana","7","Col6a1","protein_coding",NA
"ENSMUSG00000001120","ENSMUSG00000001120","ensembl_havana","15","Pcbp3","protein_coding",NA
"ENSMUSG00000001123","ENSMUSG00000001123","ensembl_havana","15","Lgals9","protein_coding",NA
"ENSMUSG00000001127","ENSMUSG00000001127","ensembl_havana","12","Araf","protein_coding",NA
"ENSMUSG00000001128","ENSMUSG00000001128","ensembl_havana","7","Cfp","protein_coding",NA
"ENSMUSG00000001131","ENSMUSG00000001131","ensembl_havana","11","Timp1","protein_coding",NA
"ENSMUSG00000001134","ENSMUSG00000001134","ensembl_havana","9","Uxt","protein_coding",NA
"ENSMUSG00000001138","ENSMUSG00000001138","ensembl_havana","13","Cnnm3","protein_coding",NA
"ENSMUSG00000001143","ENSMUSG00000001143","ensembl_havana","13","Lman2l","protein_coding",NA
"ENSMUSG00000001150","ENSMUSG00000001150","ensembl","6","Mcm3ap","protein_coding",NA
"ENSMUSG00000001151","ENSMUSG00000001151","ensembl","9","Pcnt","protein_coding",NA
"ENSMUSG00000001155","ENSMUSG00000001155","ensembl_havana","13","Ftcd","protein_coding",NA
"ENSMUSG00000001156","ENSMUSG00000001156","ensembl_havana","9","Mxd1","protein_coding",NA
"ENSMUSG00000001157","ENSMUSG00000001157","ensembl_havana","13","Gmcl1","protein_coding",NA
"ENSMUSG00000001158","ENSMUSG00000001158","ensembl_havana","13","Snrnp27","protein_coding",NA
"ENSMUSG00000001166","ENSMUSG00000001166","ensembl_havana","17","Oas1c","protein_coding",NA
"ENSMUSG00000001168","ENSMUSG00000001168","ensembl_havana","16","Oas1h","protein_coding",NA
"ENSMUSG00000001173","ENSMUSG00000001173","ensembl_havana","15","Ocrl","protein_coding",NA
"ENSMUSG00000001175","ENSMUSG00000001175","ensembl_havana","13","Calm1","protein_coding",NA
"ENSMUSG00000001211","ENSMUSG00000001211","ensembl_havana","14","Agpat3","protein_coding",NA
"ENSMUSG00000001225","ENSMUSG00000001225","ensembl_havana","12","Slc26a3","protein_coding",NA
"ENSMUSG00000001227","ENSMUSG00000001227","ensembl","11","Sema6b","protein_coding",NA
"ENSMUSG00000001228","ENSMUSG00000001228","ensembl_havana","14","Uhrf1","protein_coding",NA
"ENSMUSG00000001229","ENSMUSG00000001229","ensembl","7","Dpp9","protein_coding",NA
"ENSMUSG00000001240","ENSMUSG00000001240","ensembl_havana","13","Ramp2","protein_coding",NA
"ENSMUSG00000001247","ENSMUSG00000001247","ensembl_havana","16","Lsr","protein_coding",NA
"ENSMUSG00000001248","ENSMUSG00000001248","ensembl_havana","14","Gramd1a","protein_coding",NA
"ENSMUSG00000001249","ENSMUSG00000001249","ensembl_havana","14","Hpn","protein_coding",NA
"ENSMUSG00000001260","ENSMUSG00000001260","ensembl_havana","10","Gabrg1","protein_coding",NA
"ENSMUSG00000001270","ENSMUSG00000001270","ensembl","8","Ckb","protein_coding",NA
"ENSMUSG00000001280","ENSMUSG00000001280","ensembl_havana","12","Sp1","protein_coding",NA
"ENSMUSG00000001281","ENSMUSG00000001281","ensembl_havana","9","Itgb7","protein_coding",NA
"ENSMUSG00000001285","ENSMUSG00000001285","ensembl_havana","12","Myg1","protein_coding",NA
"ENSMUSG00000001288","ENSMUSG00000001288","ensembl_havana","14","Rarg","protein_coding",NA
"ENSMUSG00000001289","ENSMUSG00000001289","ensembl_havana","12","Pfdn5","protein_coding",NA
"ENSMUSG00000001300","ENSMUSG00000001300","ensembl_havana","16","Efnb2","protein_coding",NA
"ENSMUSG00000001305","ENSMUSG00000001305","ensembl_havana","5","Rrp15","protein_coding",NA
"ENSMUSG00000001313","ENSMUSG00000001313","ensembl_havana","12","Rnd2","protein_coding",NA
"ENSMUSG00000001323","ENSMUSG00000001323","ensembl_havana","17","Srr","protein_coding",NA
"ENSMUSG00000001333","ENSMUSG00000001333","ensembl_havana","9","Sync","protein_coding",NA
"ENSMUSG00000001334","ENSMUSG00000001334","ensembl_havana","9","Fndc5","protein_coding",NA
"ENSMUSG00000001348","ENSMUSG00000001348","ensembl","14","Acp5","protein_coding",NA
"ENSMUSG00000001349","ENSMUSG00000001349","ensembl","4","Cnn1","protein_coding",NA
"ENSMUSG00000001366","ENSMUSG00000001366","ensembl_havana","14","Fbxo9","protein_coding",NA
"ENSMUSG00000001376","ENSMUSG00000001376","ensembl_havana","17","Vps50","protein_coding",NA
